"id","host_id","host_since","host_is_superhost","host_listings_count","property_type","room_type","price","last_review","number_of_reviews","availability_30","review_scores_rating","City"
42979248,342184585,2020-03-21,0,1,"Entire apartment","Entire home/apt",120,2020-10-12,1,0,100,"Paris"
24483494,78090737,2016-06-16,1,1,"Entire apartment","Entire home/apt",80,2020-03-01,29,2,99,"Paris"
38748871,293601363,2019-09-10,1,4,"Room in boutique hotel","Private room",60,2020-10-21,4,5,95,"Paris"
34664095,52093406,2015-12-23,1,1,"Entire apartment","Entire home/apt",66,2020-10-26,20,19,96,"Paris"
34955928,262926618,2019-05-20,0,1,"Entire apartment","Entire home/apt",54,2019-12-28,9,0,84,"Paris"
39385253,302524960,2019-10-15,1,0,"Entire apartment","Entire home/apt",72,2020-03-20,27,0,99,"Paris"
22853384,6328308,2013-05-10,1,7,"Entire apartment","Entire home/apt",96,2020-02-29,9,29,93,"Paris"
44629644,358032843,2020-07-23,0,2,"Entire apartment","Entire home/apt",32,2020-08-31,1,0,100,"Paris"
44878700,2221308,2012-04-25,0,1,"Entire apartment","Entire home/apt",60,2020-09-20,3,0,93,"Paris"
30456779,5562096,2013-03-21,1,1,"Entire apartment","Entire home/apt",60,2020-10-04,16,23,100,"Paris"
33030284,17037121,2014-06-20,0,129,"Entire apartment","Entire home/apt",60,2020-10-20,27,7,86,"Paris"
44385296,358142706,2020-07-24,0,0,"Entire apartment","Entire home/apt",63,2020-08-05,1,0,100,"Paris"
29897069,158956937,2017-11-16,1,7,"Entire apartment","Entire home/apt",250,2020-04-27,34,24,100,"Paris"
1364205,2395610,2012-05-17,0,1,"Entire apartment","Entire home/apt",100,2019-11-10,21,0,99,"Paris"
15387349,73799308,2016-05-24,1,1,"Entire apartment","Entire home/apt",78,2019-11-12,65,29,85,"Paris"
15923431,7744665,2013-07-26,0,1,"Entire apartment","Entire home/apt",63,2019-09-15,26,29,93,"Paris"
12078772,42824992,2015-08-29,0,1,"Entire apartment","Entire home/apt",100,2020-02-13,16,30,87,"Paris"
22313089,22522532,2014-10-14,0,1,"Entire apartment","Entire home/apt",106,2019-09-30,1,29,100,"Paris"
19232302,37639701,2015-07-06,0,1,"Entire apartment","Entire home/apt",99,2019-07-03,42,0,95,"Paris"
19377935,2667370,2012-06-18,0,303,"Entire apartment","Entire home/apt",88,2019-07-22,8,29,94,"Paris"
19956081,141469042,2017-07-20,0,1,"Entire apartment","Entire home/apt",65,2019-05-28,13,0,100,"Paris"
17771513,5027164,2013-02-09,0,75,"Entire apartment","Entire home/apt",95,2020-07-26,4,0,95,"Paris"
20989492,36291193,2015-06-20,1,4,"Private room in condominium","Private room",85,2020-02-17,33,0,98,"Paris"
43333460,13932360,2014-04-05,0,3,"Entire apartment","Entire home/apt",90,2020-09-13,5,29,96,"Paris"
